nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf 1.497880681050406615e+00 1.798292609132133624e+00 4.222473032130835691e+00 4.331714538481473475e+00 3.632339269381172464e+00 2.714626629377946188e+00 2.413282320486040522e+00 7.921852059776347765e+00 1.304643813756889514e+01 1.330510774460680068e+01 1.053406016677814705e+01 7.098265529485888514e+00 4.251297707709479567e+00 2.167440293857818556e+00 1.158371540281313727e+00 1.070167533832543372e+00 1.135994697413430954e+00 1.524328490735003871e+00 2.044326092519825000e+00 2.408227045859350213e+00 2.367362257095858791e+00 2.148949557822259937e+00 2.426456586059770881e+00 3.289779131312487337e+00 3.723415592315698408e+00 3.114728190143849051e+00 2.179951615419883026e+00 1.585612695201946476e+00 1.408361777640537493e+00 1.396014342560008448e+00 1.439250685358171911e+00 1.498970120043263687e+00 1.556268256942686889e+00 1.601682329588732800e+00 1.636978973131424153e+00 1.672754099401704719e+00 1.718430843716874934e+00 1.787675272759150502e+00 1.897227132427256269e+00 2.027629321455503231e+00 2.156027256058119512e+00 2.267480930249983651e+00 2.405757453837840565e+00 2.580953613270684954e+00 2.785502411345300189e+00 2.968441055858000777e+00 3.052081348485564671e+00 3.033930949012365819e+00 2.878485325418603136e+00 2.675543720415035853e+00 2.562112276880415873e+00 2.554983608574315390e+00 2.541629475003214456e+00 2.473668425832751261e+00 2.375162521849015551e+00 2.289338218202536357e+00 2.228672386010151385e+00 inf nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf 3.347337266191845018e+00 1.293555733235565164e+00 2.280784052808450646e+00 4.492019940205250528e+00 4.781687199296312585e+00 3.873011920524284335e+00 2.948903444494911152e+00 6.833938684731540647e+00 1.238320948236509089e+01 1.370336505080541478e+01 1.167797350751445151e+01 8.425574066006451091e+00 5.384641300464327429e+00 2.919838728626912072e+00 1.273768227922811080e+00 1.183709772114561076e+00 1.280207773482183065e+00 1.444186597400838545e+00 2.035430437125429926e+00 2.607247079445770055e+00 2.712443634170816242e+00 2.477996819221071512e+00 2.499664845413724912e+00 3.103148442350111225e+00 3.615908165214582137e+00 3.238580462077893074e+00 2.420612224425733316e+00 1.809571714802241438e+00 1.589295293312414037e+00 1.553922999620963141e+00 1.585464933712294577e+00 1.643805567285125058e+00 1.705174396368211109e+00 1.754920824688607883e+00 1.798258614811475198e+00 1.860951847002295212e+00 1.943915113705383613e+00 2.068262117611272988e+00 2.238650267611610900e+00 2.434410110278391492e+00 2.603624221729140764e+00 2.730537149217000525e+00 2.853110383869414513e+00 3.005096551605657140e+00 3.206099096905396184e+00 3.424584943692779770e+00 3.573577896776285456e+00 3.546297697993143316e+00 3.362171674293754187e+00 3.151806678986982746e+00 3.030036933932640508e+00 3.031154764847173055e+00 3.105058908148253582e+00 3.116363379508488851e+00 3.020688400175856270e+00 2.864280372699794519e+00 2.716297180461303640e+00 2.617302905799445689e+00 inf nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf 4.159415474501916066e+00 1.821506129082188785e+00 2.496335398779019332e+00 4.440842585632529094e+00 4.682433451764254073e+00 3.759507320052599244e+00 5.497463893018913694e+00 1.077399061949647852e+01 1.371900942130665335e+01 1.293230126397328306e+01 1.033715755394263169e+01 7.328445004332555968e+00 4.662350196967509852e+00 2.056477761299729590e+00 1.036638158545936328e+00 1.560736837590902981e+00 1.606002115215286130e+00 1.855949682470157569e+00 2.555279720654902942e+00 3.123510261067677707e+00 3.070990969581184782e+00 2.729939793624537092e+00 2.773391817872314036e+00 3.161032028088155421e+00 3.172212348991920283e+00 2.623588980428033235e+00 2.012546501123324116e+00 1.709320155019935505e+00 1.642454798435982077e+00 1.658526998992734480e+00 1.703028724538261596e+00 1.759055841218234884e+00 1.809025747754572366e+00 1.854098910694916835e+00 1.916552850851391154e+00 2.007530187566373137e+00 2.147354174410622374e+00 2.341437579612757336e+00 2.548581204442978976e+00 2.727829470468537743e+00 2.854004707658859719e+00 2.931993551577970258e+00 3.003228326252555647e+00 3.131965495424389623e+00 3.315711649342798051e+00 3.468797264397073921e+00 3.510237385945737199e+00 3.368735794610741685e+00 3.166957035175837820e+00 3.046812402288341382e+00 3.045187780842211644e+00 3.162873938798431706e+00 3.268827439532114632e+00 3.281441193251354971e+00 3.199184014103411577e+00 3.040361379028675870e+00 2.867450436578536710e+00 inf nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf 6.750666991656630422e+00 5.205323348305862297e+00 2.555797653149918247e+00 2.562582246246613682e+00 3.601245589004760550e+00 3.828763330508345941e+00 5.615710689670031286e+00 1.032479070485948469e+01 1.358925406354055987e+01 1.321269464923559767e+01 1.117385484613656921e+01 8.813134920591416233e+00 6.401395804535110479e+00 3.450456681075132703e+00 1.183434460824896561e+00 1.590416946893037586e+00 2.180925712582717502e+00 1.994197768343799915e+00 2.322341873035235427e+00 3.220785527337051146e+00 3.720784475144233383e+00 3.454025930111482623e+00 2.963100933320886199e+00 2.849815528849016122e+00 2.875047880027323810e+00 2.579928925149396424e+00 2.102213275397539327e+00 1.785112968332052130e+00 1.683777764630562723e+00 1.686202587898507854e+00 1.712887631626045737e+00 1.756449733955307346e+00 1.798367499632526068e+00 1.830639165020933490e+00 1.863518260969106333e+00 1.942639170909254975e+00 2.080461123946280466e+00 2.261229598433426968e+00 2.443173140952471734e+00 2.572048251363563409e+00 2.632184328112577631e+00 2.631750201611307016e+00 2.622196633761688656e+00 2.661151727602848460e+00 2.742610111065367118e+00 2.815219385439927446e+00 2.842745286370697233e+00 2.810279948496100744e+00 2.705489668915572743e+00 2.613738293986503702e+00 2.611643791096107226e+00 2.725432304230126057e+00 2.887390942882189115e+00 2.995242302977593862e+00 3.012875057521193334e+00 2.953172929461389096e+00 2.841372415452552147e+00 2.727400628385966641e+00 inf nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf 8.197930285838543440e+00 6.132297688730875329e+00 3.039848223915049275e+00 2.100386930357385662e+00 2.631462710475749311e+00 4.341855461927270454e+00 8.295704523530101682e+00 1.267956377225997677e+01 1.348772919123307723e+01 1.202354210579739302e+01 1.010421660686848178e+01 8.273976758958989208e+00 5.974981194943592477e+00 2.672252253000094946e+00 1.082046949430376603e+00 2.142701100804047520e+00 2.572989401091177797e+00 2.177294064077897495e+00 2.541574313930142548e+00 3.561349763281054237e+00 4.108085665091011585e+00 3.788161561200097172e+00 3.225370945414112622e+00 2.924896023850792837e+00 2.728328595369208021e+00 2.355401800787090050e+00 1.964627274229465481e+00 1.755561282120791766e+00 1.704654517667496094e+00 1.700219269048707016e+00 1.723632600209841881e+00 1.763317996807442167e+00 1.792291437656324593e+00 1.802994727147366749e+00 1.836336036177437236e+00 1.923788167054654386e+00 2.056688930289992889e+00 2.185168110802242936e+00 2.262636008374819596e+00 2.275671638069314717e+00 2.236521496356848715e+00 2.193690261603226777e+00 2.159869266279800026e+00 2.154164661159107208e+00 2.172791634495008672e+00 2.196775451136322665e+00 2.209604161135657385e+00 2.199810140049983875e+00 2.176469235717694239e+00 2.173754551091221732e+00 2.227942944355258081e+00 2.347981051103571026e+00 2.479811738091517004e+00 2.564117139541412183e+00 2.587676289669793128e+00 2.555778713936308399e+00 2.510376609757404065e+00 inf nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf 8.473398311168585550e+00 9.029449970945226056e+00 6.024528432054068183e+00 2.748633973734830871e+00 1.413117705517006550e+00 3.043839272878475111e+00 7.072837857889059165e+00 1.146085878121526669e+01 1.324272362399814185e+01 1.210313638239512635e+01 1.042649865606015958e+01 9.064907175000833206e+00 7.599332315945627414e+00 4.667295635500313900e+00 1.542801907002321116e+00 1.591946693153532211e+00 2.880129363667304432e+00 2.814070425524195951e+00 2.298799999376469838e+00 2.893016603903543427e+00 3.921729488713610490e+00 4.330803743470601930e+00 3.967850606625514143e+00 3.417161067416257580e+00 3.016110334750669253e+00 2.588567600825805837e+00 2.158628217443740116e+00 1.872999832561391687e+00 1.751303239044909477e+00 1.703152117537910293e+00 1.701156347180861061e+00 1.732866267367134672e+00 1.766737876625362080e+00 1.773990899147434019e+00 1.777178201059676388e+00 1.817884814051147657e+00 1.897232227047086939e+00 1.958347872910104481e+00 1.965163398995493083e+00 1.918639097261228610e+00 1.836214242355938886e+00 1.760014917307329840e+00 1.708175743330415441e+00 1.672677626690946662e+00 1.660102014423229466e+00 1.671322294773728734e+00 1.688955317572955472e+00 1.705875235242256815e+00 1.730175430182797847e+00 1.759708323789217488e+00 1.797902708555884299e+00 1.848378019945521533e+00 1.908882015301147206e+00 1.978947331062019366e+00 2.034353441464035850e+00 2.068724469135104105e+00 2.094930988643997516e+00 2.103262889621828613e+00 inf nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf 9.597085061669869077e+00 9.855849399559945212e+00 6.589633921441736319e+00 2.753395301830207309e+00 1.130425888424854808e+00 4.476871191918615267e+00 9.321496064370931478e+00 1.231482329576513024e+01 1.207995660602996857e+01 1.049112584789211056e+01 9.308785537233140062e+00 8.646269730374527285e+00 7.284454878994105265e+00 4.024617147596536881e+00 1.239570855438253405e+00 2.035359780559169440e+00 3.498748823142202369e+00 3.302592402622285483e+00 2.452763871386314243e+00 2.640760396630114748e+00 3.567252361593228560e+00 4.096289301254416593e+00 3.908747298188794961e+00 3.437942612546197818e+00 2.943231396626614149e+00 2.477988976946131849e+00 2.091803107413077178e+00 1.859938173850526510e+00 1.747576862157262267e+00 1.703374094182633858e+00 1.715837976733688430e+00 1.755274656521023102e+00 1.768652709074130858e+00 1.753360923575338459e+00 1.742723311255321983e+00 1.753656136871865501e+00 1.751521919968514363e+00 1.704486607399005926e+00 1.610698382698881215e+00 1.501368275998216983e+00 1.408699115131276214e+00 1.347351414168944439e+00 1.305771416442174315e+00 1.282529420968479883e+00 1.270314872899166891e+00 1.268392811949351273e+00 1.278547772566708485e+00 1.303751560358461736e+00 1.343970726473882493e+00 1.379110966215238321e+00 1.398284160510914642e+00 1.405995837781102598e+00 1.414724505727983583e+00 1.441455523567733987e+00 1.484285571798932279e+00 1.524793588756018448e+00 1.547571951372992416e+00 inf nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf 8.012925235397709400e+00 1.044485049059212223e+01 9.327014521722368556e+00 5.387863191973406352e+00 1.592460347444870639e+00 2.478342565871242353e+00 7.410041562349462652e+00 1.136195080732611373e+01 1.178313600745384093e+01 1.034533468410110935e+01 9.118812047975170643e+00 8.707604085780072722e+00 8.300186549255759161e+00 6.085621255457918544e+00 2.572859813754710068e+00 1.198138789148083472e+00 3.028265220968096472e+00 4.120400553783256647e+00 3.382492622153302708e+00 2.369788213962232604e+00 2.541964944545390903e+00 3.286267304604746808e+00 3.607332210249522220e+00 3.430481906583522367e+00 3.068201396918362800e+00 2.622115907696016990e+00 2.235479318939967985e+00 1.974309811877354770e+00 1.826040287638555304e+00 1.753015372676616890e+00 1.733321185131431408e+00 1.762641149379694516e+00 1.799183136640582603e+00 1.780139325028685438e+00 1.737436859044141357e+00 1.704908133138646420e+00 1.665576658997474091e+00 1.583905569245676048e+00 1.467825956446525248e+00 1.355891210954190296e+00 1.265513590664343102e+00 1.202972086926533013e+00 1.168822708024542800e+00 1.144561107237505038e+00 1.128013851871976447e+00 1.115171801840852295e+00 1.111823493634424009e+00 1.126427700170131718e+00 1.152484227900382630e+00 1.176318032332541952e+00 1.190629249370750653e+00 1.193160457901163651e+00 1.192246020520385308e+00 1.196155547498747307e+00 1.212948074701521994e+00 1.237502214899190989e+00 1.251612192482650876e+00 1.248723638022620985e+00 inf nan nan nan nan nan
