nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.847643110960930146e-01 -2.043014975264623168e-01 -7.863176044518684071e-02 1.760253358133724230e-02 3.658070150389149816e-02 8.440653991359688135e-02 3.157307368438964090e-01 8.531781837926717682e-02 1.254136655499809294e-01 -4.773328121190079099e-04 -6.949659318366089959e-03 -7.922654195155153650e-03 -8.701876419559885847e-03 -1.176168678539859548e-02 -1.802667182024498410e-02 -3.726818815582907257e-02 -9.158340228495101543e-02 -6.794233252174701476e-02 3.699026196917590270e-02 3.813078912499642814e-02 3.778120298953325379e-02 4.085780570846885007e-02 5.678822623155935223e-02 1.417952447129242066e-01 3.391818149826216211e-01 8.133803306084617935e-02 5.386185210077398811e-02 4.641068689230666566e-02 4.990126230605266416e-02 8.467098362093070096e-02 2.815422169208887104e-01 5.442167835214886118e-01 1.843823354044759333e-01 1.246859804942181821e-01 1.016554346637574407e-01 9.273731621916181389e-02 9.153293545033094891e-02 9.841434684488223339e-02 1.144522356718576384e-01 1.521794706338158443e-01 2.380785236362623347e-01 4.268019622898975851e-01 7.277223931730869566e-01 7.262526090549750180e-01 4.540721288711514481e-01 3.132117022025706077e-01 3.101716912942413251e-01 4.670827320435835817e-01 9.997162454298221812e-01 4.699432527505171819e-01 3.767690570800211747e-01 6.403903033797521127e-01 7.326622462266143554e-01 3.904582134269178328e-01 4.268898079199829332e-01 9.385638032862892999e-01 5.330940061729244617e-01 3.604313010267634620e-01 3.797385599599097383e-01 5.585971484400479303e-01 nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.515797393664806814e-01 -8.859867683471268629e-01 9.731346664068723715e-03 2.362985797336921434e-01 4.351876212148269030e-01 9.528390049181698629e-01 7.138912488182190819e-01 8.981467603608479511e-01 5.698948394822255653e-02 -4.634422512903221825e-02 -5.856992630266931454e-02 -6.278979774650188250e-02 -7.926998080363167887e-02 -1.107880421840162638e-01 -1.921849056000545508e-01 -4.205177878520969248e-01 -7.354844771666361192e-01 3.810473299547601500e-01 4.066590821992221438e-01 3.490469600012289231e-01 3.384128740307297267e-01 3.896125015477992504e-01 6.067574092265981545e-01 9.950254070382864580e-01 6.736551931324747944e-01 4.436599295263354836e-01 3.755865447418414993e-01 3.839825153966846538e-01 5.032703566657737992e-01 8.075209994665205615e-01 9.998476568905233508e-01 9.054061825457566659e-01 7.699479640393159796e-01 6.792174970537003809e-01 6.272264873082959991e-01 6.148490642371539083e-01 6.355446199901245707e-01 6.831300238171628125e-01 7.695714179471667693e-01 8.823720414055343797e-01 9.633877632714066275e-01 9.939111374763578421e-01 9.977784516746540655e-01 9.895685706198005249e-01 9.643589576337406877e-01 9.473901881289433780e-01 9.661242574901592883e-01 9.966557359745563671e-01 9.896961768653137481e-01 9.646158865667570081e-01 9.806217930370174640e-01 9.996696064490495637e-01 9.685273175022995895e-01 9.516346733713362260e-01 9.878538062083109805e-01 9.958951813582356261e-01 9.640207216866132356e-01 9.533869266138614851e-01 9.735161004218496617e-01 9.964370889398435072e-01 nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -9.959729388318241394e-01 -7.905294527797289694e-01 -7.749632115156573908e-01 3.734210149827097425e-01 5.980759648697216990e-01 8.510227852452201258e-01 9.989307976839324477e-01 9.667233274936699594e-01 5.090520485904969084e-01 4.971681430646765140e-03 -6.671808852236896237e-02 -7.682659355327810247e-02 -8.584324129135419146e-02 -1.140143757369771194e-01 -1.821403638054608087e-01 -3.469315742414153525e-01 -8.566806635539742087e-01 -6.411153565412205935e-02 9.973304924190883325e-01 7.618591442177847783e-01 6.422879577310943722e-01 6.168833513961254900e-01 7.267335571080841827e-01 9.494497606344427520e-01 9.510055253593961977e-01 7.360181622130698154e-01 6.132464469616915048e-01 5.980146801655386035e-01 6.778190139291789817e-01 8.580695838439788004e-01 9.830477681544219637e-01 9.958012660961073070e-01 9.500467504557220666e-01 8.972939395236373405e-01 8.540089444709286770e-01 8.329707770694055879e-01 8.432346064355570325e-01 8.718701894480285208e-01 9.155882460116080424e-01 9.613689784382080106e-01 9.902631487908682972e-01 9.993285439956964833e-01 9.999612034086668988e-01 9.999999620925391630e-01 9.986074622292255842e-01 9.940675499255653413e-01 9.930432400773199220e-01 9.972823854067573990e-01 9.998670003657239569e-01 9.950194238627219079e-01 9.947513035502847378e-01 9.997298203960787166e-01 9.951316115509445392e-01 9.811618862371441763e-01 9.866173602819243715e-01 9.985862674484375923e-01 9.979051805123115848e-01 9.889416844262136630e-01 9.887822353850836965e-01 9.955533369910113395e-01 nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -8.541973274192899979e-01 -6.083900738655303453e-01 -2.135293568489840532e-01 8.342800824037489571e-01 8.822816241428458328e-01 9.865245092470963373e-01 9.999980283852650809e-01 7.629985994588380782e-01 1.330512308293591295e-01 -1.782013977385651232e-02 -3.861092495281823189e-02 -3.168368990087737369e-02 -3.535695346304551512e-02 -7.479237979137125236e-02 -1.912146396812628713e-01 -5.670064288185714396e-01 -1.807303198752074624e-01 5.786324946284265858e-01 9.950271703393351874e-01 8.516247340818462463e-01 7.635640562658094765e-01 7.903298499524583631e-01 9.288206418558363486e-01 9.917610306234682094e-01 8.372869683805057583e-01 6.933461296339347157e-01 6.552873463366026829e-01 7.141508806069696291e-01 8.577110884027545623e-01 9.741401438790010525e-01 9.999051961853512305e-01 9.841514231645813737e-01 9.479133607892435975e-01 9.121512871498158592e-01 8.912369835351300340e-01 8.986253038790757985e-01 9.209916542574611009e-01 9.522274325403567996e-01 9.809755772891106673e-01 9.967661674340538847e-01 9.999949817473627878e-01 9.991474914796517615e-01 9.990878237324840594e-01 9.998879371445771325e-01 9.994487575289935366e-01 9.984188437099242863e-01 9.990786625044670854e-01 9.999796792135338119e-01 9.987751588620505938e-01 9.981296624878333024e-01 9.999286960716412542e-01 9.977464641419643288e-01 9.894441335554537975e-01 9.892163336625452441e-01 9.957783268140556476e-01 9.998607725633382737e-01 9.980254444399945246e-01 9.944417086286360119e-01 9.963952981202709447e-01 9.995128630559988459e-01 nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -9.937257895530438034e-01 -6.733916601061965546e-01 -4.143201477315929249e-01 2.147175671653860363e-01 9.937900021482177770e-01 9.763967855944143404e-01 9.898780506716867711e-01 9.040398919918877230e-01 3.741472131412812430e-01 7.878796414941829918e-02 1.549669310137405560e-02 2.651982130270155377e-02 5.661767899389458236e-02 6.587009601304645579e-02 2.367912694157808459e-02 -7.694762807938017313e-02 -4.447856666212202659e-01 2.042124339891311924e-01 6.824092331297900715e-01 9.997500128023867338e-01 9.048853347511971457e-01 8.452716898277812252e-01 8.919146095831247401e-01 9.890896578179410037e-01 9.490651764100493937e-01 7.805365150063995339e-01 6.748002761429116036e-01 6.847832563274651729e-01 7.949704447816429154e-01 9.314265605094410594e-01 9.924851793801930944e-01 9.990462459814001273e-01 9.781135506854130579e-01 9.453787626782207409e-01 9.186141088548144262e-01 9.182124857362733428e-01 9.383460325330201801e-01 9.630484753875316883e-01 9.866311234158166021e-01 9.984758323181770479e-01 9.996786029776845162e-01 9.976989133254191566e-01 9.973096874813854873e-01 9.983671025846548863e-01 9.996968522517071243e-01 9.999776103433277719e-01 9.999379467491598117e-01 9.999936992028347627e-01 9.999541815593426808e-01 9.997190654392127396e-01 9.999737830093851088e-01 9.991832009131311754e-01 9.949841893852200414e-01 9.915590115642816116e-01 9.938365366563393088e-01 9.975489354559140542e-01 9.998495149290315132e-01 9.992904763493307696e-01 9.978303682331868263e-01 9.988676033162968704e-01 nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -7.503614676079538581e-01 -4.440441908108763158e-01 -2.363716230345311586e-01 2.965765857664329763e-01 9.727638160884943819e-01 9.894840948744306752e-01 8.570021894980109911e-01 4.214037068628433969e-01 1.412743908113598679e-01 6.648000516041711883e-02 8.427095189810017428e-02 1.335879677016070521e-01 1.764124163169223103e-01 1.785195395321131639e-01 1.684236603131281373e-01 3.847307634774618235e-01 2.016908161627866958e-01 3.358348712035577055e-01 7.599837315422698358e-01 9.988209260740489315e-01 9.295178569509321420e-01 9.100395828027860734e-01 9.577438517400109763e-01 9.990825348478021839e-01 8.968434660610021814e-01 7.447912553543912795e-01 6.968818679437290831e-01 7.684755710784022531e-01 8.921708215768845429e-01 9.749144084952090505e-01 9.990501733718301081e-01 9.915532706877943081e-01 9.616008270696564386e-01 9.316162833566159485e-01 9.266514599944589703e-01 9.496534419950963812e-01 9.753417188044655184e-01 9.944304766134635098e-01 9.999972113241361038e-01 9.974734126539266388e-01 9.942813053146162261e-01 9.943956219815202058e-01 9.966477228406372957e-01 9.982253529338562803e-01 9.992252409461319651e-01 9.995207898148225079e-01 9.998031338020588743e-01 9.999903674171687351e-01 9.999413357861020035e-01 9.995039741794580213e-01 9.986559833612583814e-01 9.969479373531726640e-01 9.955747790137134956e-01 9.954224812721498283e-01 9.965612318753740428e-01 9.984482996553017964e-01 9.998055587440408676e-01 9.999337106504992967e-01 9.995348906190134608e-01 9.998721195241947468e-01 nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -9.888382031972842157e-01 -5.572465689864622984e-01 -3.650896004476175127e-01 -2.170338861192721014e-01 1.562853845866484515e-01 8.840108836906405143e-01 9.239119251968981317e-01 5.009734596759868319e-01 1.899573315793844086e-01 8.871747091971611543e-02 9.213755088525774073e-02 1.433723848707405268e-01 2.053054872461215208e-01 2.402850541887324165e-01 2.389359221841155234e-01 2.737594986098229044e-01 8.661788336219510276e-01 1.523799675302330292e-01 3.029879107122602222e-01 7.464592637952149889e-01 9.999996316877932667e-01 9.532843852209177404e-01 9.375856913462145004e-01 9.761238595148670205e-01 9.966937929953061381e-01 9.099152627438071850e-01 7.895138161038428581e-01 7.702434253296178701e-01 8.479852662666367280e-01 9.381220011219001398e-01 9.867377376545536372e-01 9.998555700806244229e-01 9.812131791941822723e-01 9.467100440332999467e-01 9.264970213248893138e-01 9.427618517574551937e-01 9.727944864603627062e-01 9.942252233704514941e-01 9.999312975752212562e-01 9.958067783868779221e-01 9.916688368171148182e-01 9.909078959847691381e-01 9.940524701378727901e-01 9.970294515075536212e-01 9.980350776506984323e-01 9.981892488900737659e-01 9.986938042345764321e-01 9.995930821885258277e-01 9.999943496082922545e-01 9.988408968202641125e-01 9.974837082856019554e-01 9.973090200862519961e-01 9.978078160810178732e-01 9.980504473011815314e-01 9.974014915523965463e-01 9.973845876498174112e-01 9.984503678240465030e-01 9.995823414944323693e-01 9.999998996735964818e-01 9.998597944113386538e-01 nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -6.776874948055865433e-01 -4.124947747627708550e-01 -3.175625855099416528e-01 -2.048946836466309374e-01 8.578721560767360588e-02 9.762269829597951531e-01 4.394615153947193931e-01 1.604610589047543168e-01 6.949069499186368015e-02 7.661669321518486953e-02 1.293763624726652350e-01 2.021100564134140354e-01 2.560515463282475590e-01 2.691127183005684320e-01 2.820998106092385549e-01 4.543256786349795240e-01 1.543322427128372976e-01 9.070253392037727624e-02 3.048859383514799792e-01 8.039295518859591594e-01 9.997604104228875466e-01 9.635785224976636254e-01 9.591974662457430911e-01 9.917921539740232051e-01 9.905110210744317856e-01 9.232090483284983717e-01 8.602520636705255352e-01 8.702918406121529227e-01 9.288825213813455273e-01 9.746744696323765833e-01 9.984775967664740737e-01 9.913020005084065556e-01 9.586210528260006303e-01 9.294539358831653830e-01 9.374918171462075511e-01 9.699965537654483549e-01 9.942546015611206656e-01 9.997321419089474359e-01 9.944743076731479281e-01 9.895807743708935345e-01 9.887058713073049177e-01 9.923791527527563439e-01 9.962239799811558605e-01 9.977460500151545952e-01 9.974211127627939932e-01 9.964105997660476222e-01 9.976527091395768210e-01 9.997379903872063434e-01 9.992946506802172779e-01 9.964548842903029335e-01 9.965064325360821762e-01 9.983818900848896449e-01 9.993739103313908911e-01 9.991289910212485248e-01 9.978532060018764360e-01 9.976352048694505648e-01 9.987903399314126407e-01 9.998639669860006629e-01 9.999732054169474527e-01 9.999624822693531367e-01 nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -9.819673430787488888e-01 -4.909221208620835886e-01 -3.604668140105160012e-01 -3.141630829768873867e-01 -2.673932760644229245e-01 -1.798057460452936740e-01 2.403978691225345243e-01 8.413507974251129007e-02 3.699108735911049717e-02 3.114510339379028547e-02 7.854884204490883426e-02 1.562863026866869454e-01 2.310285967041761368e-01 2.681764032435193790e-01 2.777804453366566895e-01 3.174396513811734155e-01 6.595638604450329012e-01 2.352866886564941931e-02 1.140103239670794098e-02 1.947373007030379077e-01 6.581139084460930766e-01 9.926183659775547063e-01 9.786308485678681945e-01 9.714870402358789514e-01 9.931332570779912716e-01 9.970173946688569711e-01 9.662914027446045662e-01 9.412461802255180920e-01 9.485867720856444585e-01 9.714270323869323986e-01 9.920513179692794781e-01 9.994993741205578930e-01 9.787448857226319632e-01 9.424977334544973884e-01 9.310816624844803213e-01 9.570031655982044194e-01 9.876820933534181668e-01 9.998686816102145825e-01 9.969400693973219374e-01 9.927724653753819961e-01 9.923519314391637813e-01 9.949250144563455134e-01 9.978920095119396816e-01 9.990938658914936266e-01 9.988502409581604402e-01 9.957201020695869431e-01 9.893601368742649393e-01 9.928745468635776783e-01 9.994099997913611366e-01 9.985790551052013964e-01 9.964580087367616024e-01 9.980067628536485325e-01 9.993747239035731811e-01 9.997095134012404793e-01 9.992406440599082007e-01 9.984799207398054044e-01 9.984868682770897674e-01 9.997871132483687751e-01 9.999562349996663491e-01 9.998373889149863025e-01 nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -5.675770023657402685e-01 -3.595694549073835122e-01 -3.179005711450630378e-01 -3.024653940367076910e-01 -2.900737734145700797e-01 -4.455198371651260536e-01 -7.208917315042523422e-02 1.058679706814908902e-02 2.344445214060342578e-02 6.168429856252091725e-02 1.372885188394061540e-01 2.197989203759085908e-01 2.695745170088639231e-01 2.807003318419237781e-01 2.979868634479298506e-01 3.797853022798410860e-01 4.683324100563184267e-01 -6.014469663689557240e-04 3.653141922107346062e-02 2.356953195059067196e-01 7.068983508418279493e-01 9.965475939839237851e-01 9.811649108760679416e-01 9.797926466614357288e-01 9.975082627501508092e-01 9.971367065116882866e-01 9.833044447956135192e-01 9.777323133324483662e-01 9.843871157384469495e-01 9.922033884820150584e-01 9.999506707224871116e-01 9.892418058000662651e-01 9.579466915478171973e-01 9.337992635015409659e-01 9.477067702127260906e-01 9.783924743029664972e-01 9.976094687806664751e-01 9.996470115391176137e-01 9.982180855987482504e-01 9.987984170698576136e-01 9.999606464428623109e-01 9.994814210532974030e-01 9.990984114101880698e-01 9.995688712365834450e-01 9.992351535689559805e-01 9.875714842315549413e-01 9.760928279923697382e-01 9.856516377964525955e-01 9.984526770607071722e-01 9.994656871555080979e-01 9.987338442499325009e-01 9.990839395410172630e-01 9.992995084446587573e-01 9.990944940801240737e-01 9.991913890883394878e-01 9.994929181021789955e-01 9.999987254438074125e-01 9.997998950511922667e-01 9.997911587063005312e-01 9.999024190758797337e-01 nan nan nan nan nan
