nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf 4.731231913500241859e+00 7.750787612502396229e+00 3.384617350188193541e+01 3.508658824439420698e+01 2.725839717413310126e+01 1.727775689353477162e+01 1.407993311950161086e+01 7.740883260156221013e+01 1.414817997396571343e+02 1.448045392193408247e+02 1.096896551439053269e+02 6.744828463519039019e+01 3.417131069037186109e+01 1.151322200609722124e+01 1.437843836285690458e+00 6.113989914655171276e-01 1.230128799118247684e+00 4.986424267736424554e+00 1.025498295939322624e+01 1.402616102763076888e+01 1.359523690106371063e+01 1.131964627331753803e+01 1.422054516262444679e+01 2.348744364389520456e+01 2.828102743577435518e+01 2.158703250734409096e+01 1.164512248725536558e+01 5.602938928057195511e+00 3.847656538248838132e+00 3.724639481456192058e+00 4.163908212064404424e+00 4.741614375169094231e+00 5.303344966562628215e+00 5.770421965630530892e+00 6.124897675209199477e+00 6.469239401192213634e+00 6.922337349858473488e+00 7.637989997674317522e+00 8.733242862154483532e+00 1.008988938775793898e+01 1.139354923209201864e+01 1.257005175428261268e+01 1.399992951293505250e+01 1.585135107923161257e+01 1.804762816579615148e+01 1.999520337863608077e+01 2.091868667173215357e+01 2.071652414579705948e+01 1.902513351647218087e+01 1.685439456313495654e+01 1.565520584751573629e+01 1.558130999275272188e+01 1.544334807909622498e+01 1.473014196198129611e+01 1.367697654948293184e+01 1.279098976401152221e+01 1.216585221143269635e+01 inf nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf 2.412974054982451122e+01 2.740733174231024805e+00 1.270429521440493481e+01 3.690908953739025122e+01 4.022283415586603184e+01 2.992513335237943650e+01 1.978247359218148915e+01 6.427026636666118975e+01 1.330350027666656274e+02 1.498797311465976634e+02 1.240939240225909543e+02 8.355648535721363146e+01 4.716485328302174906e+01 1.946810411344320713e+01 2.540967906137709065e+00 1.691107330339832515e+00 2.605182093158724399e+00 4.215570145870945140e+00 1.016685994342520338e+01 1.612710266158291716e+01 1.725397219966179563e+01 1.477730745807082435e+01 1.501377531224631845e+01 2.146413188054396670e+01 2.707395071510443785e+01 2.292336028044154972e+01 1.415808135839581894e+01 7.868975626064369067e+00 5.641106468796241558e+00 5.279749100030519671e+00 5.601410135700040982e+00 6.189890312561187713e+00 6.789283969995354440e+00 7.295146025346772589e+00 7.750425159160366562e+00 8.370185735200493582e+00 9.211713842904535099e+00 1.049396841872556863e+01 1.227388847546007078e+01 1.430577060089976094e+01 1.608896781868200776e+01 1.745160069973093542e+01 1.875583085337481037e+01 2.039736905762615748e+01 2.256903338926714042e+01 2.497216970485975907e+01 2.660164741918412545e+01 2.629945969861066857e+01 2.429667697470593168e+01 2.198291009558814579e+01 2.067327909901532479e+01 2.068568858899794094e+01 2.148438439550086088e+01 2.160441557115029454e+01 2.056964227820865432e+01 1.887414209501904594e+01 1.729596927825082986e+01 1.623318700642203538e+01 inf nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf 3.314029711739289041e+01 7.984033956776897867e+00 1.497796886226688251e+01 3.633839211419383730e+01 3.907139310785437658e+01 2.867345039573695686e+01 4.848013528961961782e+01 1.127198605774614464e+02 1.500801783508573521e+02 1.400279084885577845e+02 1.072336844570117194e+02 7.021110050522362656e+01 3.884043597394312997e+01 1.037596897833760501e+01 3.231726945228512449e-01 5.348446449420935167e+00 5.815856843346624672e+00 8.320719141017598020e+00 1.558437603828223672e+01 2.168047299145076323e+01 2.112466208225998798e+01 1.744505816373419549e+01 1.792219884558281251e+01 2.208196280810083323e+01 2.220230303453097775e+01 1.629967765807791125e+01 9.937950901272563087e+00 6.830757893321839802e+00 6.177003565697400944e+00 6.331192718984816281e+00 6.767867603839212265e+00 7.337999773491885591e+00 7.863731721571701527e+00 8.302453461361487541e+00 8.929769054086772684e+00 9.883947066456961750e+00 1.130302070454062147e+01 1.332531607394374440e+01 1.551509056492893812e+01 1.742195461287259661e+01 1.876528980913668931e+01 1.959926837612860950e+01 2.037677551140347987e+01 2.177062566637676611e+01 2.377575967806652102e+01 2.545035215378567983e+01 2.590265107032556102e+01 2.437072798572506116e+01 2.214569653902771051e+01 2.085989958229914265e+01 2.084178982933746838e+01 2.210176596441809949e+01 2.325578268675799265e+01 2.339511492443869756e+01 2.249395397178113143e+01 2.078803578077900482e+01 1.890778641884027067e+01 inf nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf 6.327322340934365741e+01 4.510688185594271715e+01 1.558973960819567317e+01 1.566008365458400142e+01 2.690988332820404594e+01 2.943400947448713723e+01 4.987802149556030429e+01 1.070803596126604731e+02 1.484217058681879564e+02 1.436130226449053566e+02 1.177300060675601827e+02 8.830685675878675056e+01 5.911793805862634343e+01 2.525143984814549469e+01 1.688252441462395836e+00 5.652756865781084272e+00 1.165542312237578138e+01 9.741122351557791603e+00 1.312821359646090791e+01 2.272890191924137326e+01 2.825252480852561021e+01 2.529008915098100374e+01 1.993694659575546169e+01 1.872100275850571904e+01 1.898854036736337747e+01 1.584065251785095008e+01 1.083762015697859482e+01 7.610890406387902374e+00 6.577209304735367468e+00 6.601076834906313806e+00 6.866546205394630675e+00 7.310976656893906522e+00 7.751586137487500139e+00 8.072640853259692051e+00 8.395621263022047032e+00 9.198470100690414597e+00 1.061681531496993003e+01 1.250721292149726338e+01 1.439996280473580015e+01 1.575849186337763719e+01 1.639081300333996793e+01 1.638620396556274983e+01 1.628493854051142620e+01 1.669980898618871379e+01 1.758409105783960769e+01 1.835724875112553534e+01 1.864637573266692527e+01 1.830560347315825709e+01 1.717831420826945532e+01 1.619554247033152095e+01 1.617344345106766212e+01 1.739572919528071537e+01 1.912010071804706257e+01 2.028886178586725464e+01 2.048322314279082335e+01 1.982886407065611678e+01 1.863190213884438862e+01 1.741726156383822754e+01 inf nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf 8.076540316792720375e+01 5.594167343036613005e+01 2.078232457661245292e+01 1.081899452782385218e+01 1.638315208166612535e+01 3.520286501673210466e+01 8.195838727180819205e+01 1.368298650549220952e+02 1.471304829981887679e+02 1.284919785159903256e+02 1.043235844108720300e+02 8.169252295184736568e+01 5.407905704779032163e+01 1.681897823687911497e+01 7.235179793245585245e-01 1.125459990886101203e+01 1.576829274723343843e+01 1.161704303064026256e+01 1.544277947190572853e+01 2.646598158271985568e+01 3.257117697461484340e+01 2.898692414045030574e+01 2.277893132047069003e+01 1.952262484301460432e+01 1.742741759558675341e+01 1.347037426234278179e+01 9.428014047953883647e+00 7.301775392066035764e+00 6.784091904074154300e+00 6.739876217061960162e+00 6.974893905112992343e+00 7.382300543086593336e+00 7.686931554132925726e+00 7.801002927364159234e+00 8.128155041257471680e+00 9.003901757304836551e+00 1.037807765212289368e+01 1.170033716282894076e+01 1.252133664607864638e+01 1.265262157455224568e+01 1.225079932588584164e+01 1.179081929482071800e+01 1.143376594564891668e+01 1.137407754876076460e+01 1.156954738156920293e+01 1.182366076691552337e+01 1.196070613729220966e+01 1.185600881299889053e+01 1.160833479369220811e+01 1.157969698425098493e+01 1.215797269290708194e+01 1.339319167682707068e+01 1.479710647414676927e+01 1.567601955168811756e+01 1.592163014013971534e+01 1.558954346264121149e+01 1.512285497141043500e+01 inf nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf 8.414886455155229328e+01 9.099032265428363075e+01 5.467026168992097013e+01 1.765038395376720359e+01 3.895557786835372127e+00 2.082676387177297528e+01 6.714647539987925029e+01 1.213698431128731272e+02 1.439996579695849448e+02 1.294976327125400246e+02 1.083445954010801842e+02 9.143400865899420182e+01 7.349243882919726900e+01 3.889724508559422844e+01 5.168560312133747559e+00 5.668665044054296942e+00 1.904264742250128251e+01 1.834522911497112574e+01 1.288722323309898599e+01 1.918021246372587996e+01 3.047054178817501935e+01 3.507615436834644385e+01 3.099140436316767477e+01 2.489231882393300666e+01 2.051898483487986979e+01 1.593095952479522204e+01 1.142076744159840018e+01 8.489922673437195755e+00 7.257756135599118252e+00 6.769098311066757745e+00 6.749206243543600436e+00 7.068669263350663812e+00 7.417941699357932350e+00 7.493810818947507002e+00 7.527271409648529144e+00 7.949034226382213575e+00 8.733294385519045022e+00 9.362175270350958201e+00 9.433645817634712216e+00 8.951113574665779282e+00 8.126966236110424902e+00 7.347956939671242083e+00 6.819296848183956428e+00 6.468493467915385153e+00 6.346403170812134675e+00 6.455280249502409973e+00 6.628223477231951932e+00 6.796286391351898715e+00 7.041277981334591374e+00 7.344773150270174966e+00 7.746630926664460404e+00 8.246117960166328587e+00 8.851504652059515976e+00 9.579011068405094420e+00 1.015621643419639852e+01 1.049861150942764176e+01 1.076344759967327747e+01 1.084833162165081077e+01 inf nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf 9.801893085992665533e+01 1.012191667822500136e+02 6.136718695420235292e+01 1.770287030425976837e+01 1.180760393609913805e+00 3.673969838330175719e+01 9.458325805013056709e+01 1.321668791649039463e+02 1.292070021672995495e+02 1.091517662360574832e+02 9.442627721188318901e+01 8.626424202762237314e+01 6.967881293545316623e+01 3.163852796972617298e+01 2.212832796006287239e+00 1.016616150435328336e+01 2.577686153513652911e+01 2.362968195220717149e+01 1.450340334796620922e+01 1.648199545637801222e+01 2.653142522781874391e+01 3.244107883021472816e+01 3.032472246250405590e+01 2.511616479993634954e+01 1.972092700733205817e+01 1.477722193495599434e+01 1.073166647187004230e+01 8.360149793025710707e+00 7.219340768082876281e+00 6.771312557126524467e+00 6.896213086514325852e+00 7.298808167457307761e+00 7.437934550754942364e+00 7.279011918562780181e+00 7.169455881097718475e+00 7.282063969199130682e+00 7.260013645093247092e+00 6.782415389710614306e+00 5.865449873849698292e+00 4.764508223688853406e+00 3.851044674979767990e+00 3.258723066515001321e+00 2.867679163551763111e+00 2.628521678459314614e+00 2.506848107675811121e+00 2.487953512831024838e+00 2.588555299240148599e+00 2.846497904554414760e+00 3.227475810160267855e+00 3.559381051411527608e+00 3.747107899353016691e+00 3.823934344423657095e+00 3.911806443350654305e+00 4.186946890891064754e+00 4.602604477898696089e+00 4.990970596294271644e+00 5.216109329272365258e+00 inf nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf 7.853197920049834124e+01 1.085734991070633271e+02 9.465145407283571899e+01 4.720216366387979434e+01 5.674011568897048718e+00 1.478107820640757986e+01 7.120378620803811032e+01 1.201181001488954223e+02 1.254242282501319039e+02 1.073351251280461156e+02 9.209553636465280135e+01 8.701226793247010960e+01 8.201328370404353052e+01 5.539964234564094880e+01 1.576694307942760354e+01 1.843900736524162198e+00 2.065361818881228473e+01 3.270727057981567754e+01 2.452111197257529440e+01 1.362063267442979786e+01 1.544680636461308865e+01 2.344853397605216827e+01 2.697792949328884760e+01 2.503568789817557061e+01 2.109534089790413347e+01 1.628408419280538055e+01 1.223950348205596939e+01 9.529981179642575739e+00 8.027963168621001344e+00 7.275440255217651142e+00 7.073305256705268107e+00 7.375256629078263515e+00 7.760285547945715123e+00 7.558423388743870319e+00 7.115315435973098346e+00 6.786624535847172623e+00 6.399413187570070605e+00 5.585288873932087839e+00 4.449192703480051136e+00 3.338303699906870037e+00 2.459777750787040418e+00 1.885662776154399367e+00 1.539982492307460760e+00 1.307880123910267756e+00 1.159664832908193333e+00 1.050274924553452394e+00 1.022563430372763094e+00 1.145887149754395651e+00 1.381744262711771754e+00 1.615243112905783818e+00 1.763603695306033003e+00 1.790480851978140109e+00 1.780748989018619000e+00 1.822530875662218719e+00 1.972381046111456371e+00 2.193678612340377754e+00 2.325901495507572747e+00 2.298532875406793963e+00 inf nan nan nan nan nan
