nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf 6.944484768781057937e+02 8.890058561340954384e+02 3.355312039374611686e+03 3.508112122877626462e+03 2.597797329973263459e+03 1.623833814732758356e+03 1.356100045090616959e+03 1.063461002532164275e+04 2.840377936944907196e+04 2.955243592819020705e+04 1.854346055660735510e+04 8.624689787109104145e+03 3.395052784680301556e+03 1.156699475135661942e+03 4.984580257161608756e+02 4.488819355694191131e+02 4.862213512072418098e+02 7.102403076148646051e+02 1.063951927888125738e+03 1.351781490821142597e+03 1.317391673617452852e+03 1.142217410320726003e+03 1.367421531781872773e+03 2.205175399999344791e+03 2.709420449290922079e+03 2.018642952118151243e+03 1.166611935010137358e+03 7.488663850588318383e+02 6.406074339095987398e+02 6.332081110300568980e+02 6.597346257804140350e+02 6.950887759594990030e+02 7.300109250848207694e+02 7.594786962888272228e+02 7.821113230554126403e+02 8.043236223947487815e+02 8.338974137299037466e+02 8.814229848532676215e+02 9.561268783145840189e+02 1.052024878793895823e+03 1.147737174377151405e+03 1.237137443008823766e+03 1.349676978065950607e+03 1.501756282615393275e+03 1.691500554738425535e+03 1.868249189042257512e+03 1.954848945387434242e+03 1.935737638948588483e+03 1.779214249282081937e+03 1.587154343903907602e+03 1.485303831806963672e+03 1.479126484064216811e+03 1.467624204087542694e+03 1.408799308467750507e+03 1.323885022698328157e+03 1.254247548997406057e+03 1.206098364468335376e+03 inf nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf 2.269937313699053902e+03 5.747519440495499339e+02 1.247521523368790440e+03 3.738450090693965194e+03 4.175024592052592197e+03 2.893479926266119037e+03 1.848554846599489338e+03 8.026323937192819358e+03 2.558426184408013069e+04 3.134995837786553602e+04 2.275709983454000030e+04 1.197670014807806911e+04 5.163750262381174252e+03 1.819625206770862178e+03 5.630135460022931966e+02 5.132998432102846209e+02 5.667831510108690054e+02 6.628740111877783647e+02 1.057578581761027408e+03 1.525022719644697645e+03 1.621763150003414694e+03 1.412656538892174012e+03 1.432065408432087679e+03 2.006841460881587864e+03 2.577898188876347376e+03 2.149015418322248024e+03 1.362387097666910677e+03 8.969782176215481968e+02 7.512802721679162232e+02 7.285327716775162799e+02 7.487697530031485940e+02 7.862865581416419900e+02 8.251718781344400213e+02 8.585296363290757427e+02 8.889814495958262341e+02 9.310972346514832907e+02 9.895206124651563186e+02 1.081316580474919419e+03 1.214361303492080651e+03 1.374303685460700308e+03 1.521795586240964894e+03 1.639004568422190459e+03 1.754848417460359997e+03 1.905741642479855273e+03 2.114081078666614758e+03 2.356193534424677182e+03 2.527269142752341850e+03 2.495121633398651284e+03 2.286911350868148020e+03 2.056873099488538628e+03 1.931660666294194471e+03 1.932830181355438299e+03 2.008784013894975033e+03 2.020314721381827212e+03 1.921906217741289311e+03 1.765534121481070997e+03 1.625420165891254101e+03 1.534016106562319465e+03 inf nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf 3.269795727646737760e+03 9.047661908916450102e+02 1.429118940285378812e+03 3.665575912692489055e+03 4.020729521305544949e+03 2.752837377038399609e+03 5.362366464553156220e+03 1.939488435739444685e+04 3.142202010727448942e+04 2.790819367387340026e+04 1.786708058049471583e+04 9.161766629962898151e+03 3.990113727127956736e+03 1.072728058104384672e+03 4.303509024837520087e+02 7.328390728592527239e+02 7.623665414084097165e+02 9.277074906492335913e+02 1.479382563079769625e+03 2.027636817958431720e+03 1.974409183890935765e+03 1.638432472380690797e+03 1.680391083664409280e+03 2.066490273138592329e+03 2.078202065595804470e+03 1.539664963964784874e+03 1.041097682851012223e+03 8.278880228802779584e+02 7.854580580902160136e+02 7.953916464650179705e+02 8.237706148889158158e+02 8.613785164706868045e+02 8.966239012428325168e+02 9.264570609765397649e+02 9.697867518216228291e+02 1.037225215491578638e+03 1.140977217264055298e+03 1.296048590821218795e+03 1.473600592555000503e+03 1.636412959406522077e+03 1.755701653329168039e+03 1.831670216229162861e+03 1.903813509327261499e+03 2.036331643267718391e+03 2.234138572812592884e+03 2.405818434556776538e+03 2.453199492286535587e+03 2.294459596419360423e+03 2.072689192588334208e+03 1.949282673513584314e+03 1.947569412291181379e+03 2.068415467587568401e+03 2.182030290783540750e+03 2.195937360447422634e+03 2.106712654108224797e+03 1.942488112002577282e+03 1.768578209899690592e+03 inf nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf 7.842884470054838857e+03 4.860190417177970630e+03 1.479830580976073634e+03 1.485711997162356738e+03 2.560257702833707754e+03 2.837904147738744996e+03 5.577390832635196602e+03 1.782526139428833994e+04 3.082823232106856449e+04 2.913796805618384315e+04 2.084354695523893679e+04 1.306673107469558636e+04 7.100450866848460464e+03 2.385117292000618818e+03 5.131328311889492397e+02 7.520176285581742377e+02 1.167387558911760607e+03 1.027012455101975092e+03 1.280559590634061351e+03 2.129810373936290489e+03 2.706279562316930878e+03 2.389133080737277396e+03 1.862846353250859011e+03 1.751708406490723519e+03 1.775894430114796023e+03 1.500856814938591697e+03 1.106492661040562552e+03 8.796049611788117772e+02 8.113349492197475001e+02 8.128878728072908189e+02 8.302344937296886656e+02 8.595816225362345904e+02 8.890596273706224792e+02 9.107817511060318338e+02 9.328421426354118466e+02 9.885900405288055026e+02 1.090288413104536176e+03 1.232289607955471638e+03 1.381927633645676451e+03 1.493957278147745228e+03 1.547422661886084597e+03 1.547029908434298250e+03 1.538411968686549244e+03 1.573855229813582355e+03 1.650609240183239990e+03 1.719065869465955075e+03 1.744988823410347322e+03 1.714453905015571763e+03 1.615184375952413347e+03 1.530822052987161214e+03 1.528948388670671875e+03 1.634121920566265089e+03 1.787843053913671838e+03 1.895592361432318512e+03 1.913789610885225102e+03 1.852841515143138622e+03 1.743686946098547423e+03 1.636002870790535553e+03 inf nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf 1.135778595720906742e+04 6.556974831901733523e+03 1.941948596769248525e+03 1.105121890079469267e+03 1.546769870497205375e+03 3.522600556340480580e+03 1.162037498166776277e+04 2.683312217420992602e+04 3.036977731091423630e+04 2.412752438090504802e+04 1.708151516620099574e+04 1.156160292446056155e+04 6.247970624044438409e+03 1.584103013078100958e+03 4.558133525356808491e+02 1.137368505911513012e+03 1.494779573910931958e+03 1.164498708669325651e+03 1.467576880379326212e+03 2.512812930341084666e+03 3.201606598919064709e+03 2.787751678249210272e+03 2.134743762154213073e+03 1.824627528146038458e+03 1.636890384826673881e+03 1.307499641710913693e+03 1.004769519417208699e+03 8.589701148694889525e+02 8.248320820975861807e+02 8.219404881874075954e+02 8.373535034798895822e+02 8.643273908782052786e+02 8.847100031040040449e+02 8.923897309535724389e+02 9.145586313454745095e+02 9.749597983781986841e+02 1.072881285047398251e+03 1.170772100304986225e+03 1.233378495472619534e+03 1.243519983868632607e+03 1.212593333872185440e+03 1.177603192879559629e+03 1.150745692454462642e+03 1.146281748367441878e+03 1.160927968698949826e+03 1.180086819519923893e+03 1.190475032063802701e+03 1.182535322185344512e+03 1.163843669710610584e+03 1.161690626080062884e+03 1.205496665881133595e+03 1.301401287998843600e+03 1.414277108036452091e+03 1.487045830191236519e+03 1.507670881653505148e+03 1.479814195913768344e+03 1.441058019543405635e+03 inf nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf 1.211010978735453500e+04 1.370287330013739120e+04 6.345272918006749933e+03 1.656429618085186121e+03 6.434947132302834234e+02 1.946148415557838234e+03 8.566970904377389161e+03 2.192794572441836135e+04 2.927214438430241353e+04 2.444638922751301652e+04 1.817150866394407785e+04 1.380947049049894122e+04 9.820022859443111884e+03 3.997634054920224571e+03 7.215808002827852761e+02 7.530248639498651073e+02 1.780804150660362438e+03 1.717992005182721641e+03 1.261732000013809738e+03 1.793314672404716703e+03 2.955791265362112426e+03 3.506813412525164495e+03 3.015880396799694608e+03 2.347953593713627924e+03 1.917146492493657888e+03 1.508456811343959771e+03 1.149772937992528114e+03 9.393226937139347683e+02 8.560469365109603359e+02 8.238511154835993011e+02 8.225503336599757631e+02 8.435334823529709638e+02 8.667026447127042275e+02 8.717671744778685934e+02 8.740043972295453614e+02 9.023943639658278926e+02 9.561304492851563737e+02 1.000117868408949676e+03 1.005167826591612652e+03 9.712750487200919451e+02 9.144776869566254618e+02 8.620409773196029164e+02 8.271371010765741403e+02 8.042752608101995975e+02 7.963740210147421976e+02 8.034187758836743569e+02 8.146554807528448237e+02 8.256302359610847361e+02 8.417265705312518094e+02 8.618291352135513534e+02 8.887259728438176580e+02 9.226046711198812318e+02 9.643374844991923283e+02 1.015471197599403922e+03 1.056809888846095646e+03 1.081655111853316612e+03 1.101038116503046695e+03 1.107281306158012057e+03 inf nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf inf 1.543875013916652824e+04 1.626249767992726629e+04 7.497907646211616338e+03 1.661044368594264824e+03 4.832999263200231894e+02 3.716749010119196100e+03 1.457763874140859480e+04 2.530266512342083661e+04 2.435402794838144109e+04 1.839427572697454889e+04 1.453886848988913516e+04 1.259237278149655140e+04 9.057072058101806761e+03 3.091327496709075149e+03 5.437944358324599534e+02 1.057528132126898299e+03 2.439979115732949595e+03 2.219442285687574440e+03 1.390321569703191244e+03 1.555201842310186976e+03 2.519781614393284599e+03 3.186114103133229946e+03 2.939070750809706624e+03 2.371086502126269806e+03 1.842874684853570443e+03 1.412649540523722180e+03 1.098704454920653916e+03 9.304091147763069785e+02 8.534990026949122921e+02 8.239959567575563142e+02 8.321814949399939678e+02 8.587729513094457161e+02 8.680361357594446190e+02 8.574579900737754770e+02 8.501946608074628102e+02 8.576606716334683824e+02 8.561967579458399769e+02 8.247223733422680425e+02 7.655230521580231198e+02 6.965013187584755769e+02 6.408115430798726493e+02 6.053770667495763291e+02 5.822304320054851132e+02 5.681541005898113781e+02 5.610118937040850824e+02 5.599038049969732356e+02 5.658067808216565027e+02 5.809815123371392929e+02 6.035208302308956263e+02 6.233024862886082929e+02 6.345578993909604151e+02 6.391788336850548831e+02 6.444748960161576861e+02 6.611341127703650500e+02 6.865310616233324481e+02 7.105226691602472329e+02 7.245510559852884853e+02 inf nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan inf 1.087402248200840768e+04 1.823454807544235518e+04 1.459449707990871866e+04 5.169334888844236957e+03 7.533634867566387356e+02 1.412965115005937378e+03 9.358571670366858598e+03 2.155198759209688797e+04 2.316748459387031835e+04 1.789477469898570416e+04 1.396915139291673040e+04 1.276509768149793308e+04 1.163252843246916200e+04 6.466312834873160682e+03 1.494666324580465471e+03 5.222329784248862552e+02 1.929808414937594534e+03 3.217850974281421259e+03 2.309824183414285926e+03 1.319407601928485974e+03 1.467912042881709112e+03 2.201280069150190229e+03 2.567567148657810321e+03 2.362757651611309029e+03 1.971619276641322585e+03 1.538339353261733322e+03 1.211728799149038423e+03 1.011991175376095953e+03 9.077466031685514736e+02 8.572208251382866138e+02 8.438394483375459458e+02 8.638582554484006550e+02 8.896455121076105570e+02 8.760892520066729503e+02 8.466139473460989393e+02 8.249978242926543999e+02 7.998011428212892042e+02 7.477510193741411513e+02 6.771244577892874759e+02 6.101101228559366518e+02 5.582518879352004433e+02 5.246734056675469446e+02 5.044510166657872787e+02 4.908111032651544292e+02 4.820496736214396378e+02 4.755455350072821261e+02 4.738915423657566066e+02 4.812324672950571198e+02 4.951605479348536392e+02 5.088599849291735495e+02 5.175395066104644002e+02 5.191107372243010332e+02 5.185418453644790588e+02 5.209840625495966151e+02 5.297403477696134360e+02 5.426743113719068106e+02 5.504099186080427444e+02 5.488080518992288717e+02 inf nan nan nan nan nan
